atom,orbital,r_bohr,R
Ar,1s,0.000349844301433,147.624523872
Ar,1s,0.000352068207504,147.621733628
Ar,1s,0.000354306250601,147.618909468
Ar,1s,0.000356558520592,147.616051001
Ar,1s,0.000358825107914,147.613157831
Ar,1s,0.000361106103581,147.61022956
Ar,1s,0.000363401599185,147.607265785
Ar,1s,0.000365711686899,147.604266097
Ar,1s,0.000368036459482,147.601230087
Ar,1s,0.000370376010286,147.598157339
Ar,1s,0.000372730433251,147.595047433
Ar,1s,0.000375099822919,147.591899945
Ar,1s,0.00037748427443,147.588714448
Ar,1s,0.000379883883531,147.58549051
Ar,1s,0.000382298746575,147.582227695
Ar,1s,0.000384728960529,147.578925561
Ar,1s,0.000387174622978,147.575583664
Ar,1s,0.000389635832124,147.572201556
Ar,1s,0.000392112686795,147.568778781
Ar,1s,0.000394605286449,147.565314884
Ar,1s,0.000397113731172,147.561809401
Ar,1s,0.000399638121691,147.558261866
Ar,1s,0.000402178559369,147.554671808
Ar,1s,0.000404735146216,147.551038752
Ar,1s,0.00040730798489,147.547362217
Ar,1s,0.000409897178701,147.54364172
Ar,1s,0.000412502831617,147.539876771
Ar,1s,0.000415125048265,147.536066877
Ar,1s,0.000417763933938,147.532211541
Ar,1s,0.000420419594599,147.528310259
Ar,1s,0.000423092136883,147.524362525
Ar,1s,0.000425781668106,147.520367827
Ar,1s,0.000428488296261,147.516325649
Ar,1s,0.000431212130033,147.51223547
Ar,1s,0.000433953278795,147.508096765
Ar,1s,0.000436711852615,147.503909003
Ar,1s,0.000439487962262,147.49967165
Ar,1s,0.000442281719208,147.495384167
Ar,1s,0.000445093235635,147.491046009
Ar,1s,0.000447922624436,147.486656627
Ar,1s,0.000450769999224,147.482215469
Ar,1s,0.000453635474333,147.477721976
Ar,1s,0.000456519164823,147.473175584
Ar,1s,0.000459421186488,147.468575728
Ar,1s,0.000462341655855,147.463921833
Ar,1s,0.000465280690194,147.459213324
Ar,1s,0.000468238407519,147.454449618
Ar,1s,0.000471214926595,147.449630129
Ar,1s,0.000474210366942,147.444754265
Ar,1s,0.00047722484884,147.439821432
Ar,1s,0.000480258493333,147.434831027
Ar,1s,0.000483311422234,147.429782446
Ar,1s,0.000486383758132,147.424675078
Ar,1s,0.000489475624393,147.419508309
Ar,1s,0.00049258714517,147.414281519
Ar,1s,0.000495718445402,147.408994084
Ar,1s,0.000498869650826,147.403645375
Ar,1s,0.000502040887974,147.398234758
Ar,1s,0.000505232284186,147.392761595
Ar,1s,0.00050844396761,147.387225243
Ar,1s,0.000511676067208,147.381625054
Ar,1s,0.000514928712763,147.375960376
Ar,1s,0.000518202034883,147.370230553
Ar,1s,0.000521496165004,147.364434923
Ar,1s,0.000524811235401,147.35857282
Ar,1s,0.000528147379187,147.352643573
