atom,orbital,r_bohr,R
Ar,1s,4.48978127797e-05,148.094108784
Ar,1s,4.51832212257e-05,148.094045049
Ar,1s,4.54704439689e-05,148.093980503
Ar,1s,4.57594925427e-05,148.093915135
Ar,1s,4.60503785535e-05,148.093848934
Ar,1s,4.63431136817e-05,148.09378189
Ar,1s,4.66377096817e-05,148.093713992
Ar,1s,4.6934178383e-05,148.09364523
Ar,1s,4.72325316898e-05,148.093575592
Ar,1s,4.75327815825e-05,148.093505067
Ar,1s,4.78349401172e-05,148.093433643
Ar,1s,4.8139019427e-05,148.093361311
Ar,1s,4.84450317219e-05,148.093288057
Ar,1s,4.87529892896e-05,148.09321387
Ar,1s,4.90629044958e-05,148.093138739
Ar,1s,4.93747897851e-05,148.093062651
Ar,1s,4.96886576808e-05,148.092985594
Ar,1s,5.00045207862e-05,148.092907556
Ar,1s,5.03223917845e-05,148.092828524
Ar,1s,5.06422834395e-05,148.092748487
Ar,1s,5.09642085962e-05,148.09266743
Ar,1s,5.12881801813e-05,148.092585341
Ar,1s,5.16142112036e-05,148.092502207
Ar,1s,5.19423147547e-05,148.092418014
Ar,1s,5.22725040093e-05,148.09233275
Ar,1s,5.26047922258e-05,148.0922464
Ar,1s,5.29391927471e-05,148.092158951
Ar,1s,5.32757190007e-05,148.092070388
Ar,1s,5.36143844997e-05,148.091980699
Ar,1s,5.39552028428e-05,148.091889867
Ar,1s,5.42981877153e-05,148.09179788
Ar,1s,5.46433528896e-05,148.091704721
Ar,1s,5.49907122255e-05,148.091610377
Ar,1s,5.53402796709e-05,148.091514832
Ar,1s,5.56920692625e-05,148.09141807
Ar,1s,5.6046095126e-05,148.091320077
Ar,1s,5.64023714771e-05,148.091220838
Ar,1s,5.67609126219e-05,148.091120335
Ar,1s,5.71217329572e-05,148.091018552
Ar,1s,5.74848469715e-05,148.090915475
Ar,1s,5.78502692454e-05,148.090811086
Ar,1s,5.82180144522e-05,148.090705369
